# Time (s), Angle of Attack (°), Mach Number
11.770530,0.232688,0.445929
11.794103,0.233289,0.445043
11.817676,0.233889,0.444157
11.841249,0.234488,0.443273
11.864823,0.235086,0.442389
11.888396,0.235684,0.441506
11.911969,0.236280,0.440624
11.935542,0.236876,0.439743
11.959116,0.237472,0.438862
11.982689,0.238067,0.437983
12.006262,0.238661,0.437104
12.029835,0.239254,0.436226
12.053409,0.239846,0.435349
12.076982,0.240438,0.434473
12.100555,0.241030,0.433598
12.124129,0.241621,0.432723
12.147702,0.242212,0.431850
12.171275,0.242802,0.430977
12.194848,0.243392,0.430105
12.218422,0.243982,0.429233
12.241995,0.244572,0.428363
12.265568,0.245161,0.427493
12.289141,0.245750,0.426624
12.312715,0.246339,0.425756
12.336288,0.246928,0.424889
12.359861,0.247516,0.424023
12.383434,0.248104,0.423157
12.407008,0.248693,0.422292
12.430581,0.249281,0.421428
12.454154,0.249869,0.420565
12.477727,0.250457,0.419702
12.501301,0.251045,0.418841
12.524874,0.251633,0.417980
12.548447,0.252221,0.417120
12.572020,0.252809,0.416260
12.595594,0.253398,0.415402
12.619167,0.253986,0.414544
12.645202,0.254700,0.413597
12.671237,0.255467,0.412651
12.697272,0.256242,0.411707
12.723307,0.257004,0.410763
12.749342,0.257756,0.409820
12.775377,0.258511,0.408878
12.801412,0.259267,0.407937
12.827447,0.260025,0.406997
12.853482,0.260781,0.406058
12.879517,0.261537,0.405119
12.905552,0.262291,0.404182
12.931587,0.263045,0.403245
12.957622,0.263798,0.402310
12.983657,0.264552,0.401375
13.009692,0.265307,0.400441
13.035727,0.266062,0.399508
13.061762,0.266816,0.398576
13.087797,0.267570,0.397645
13.113832,0.268324,0.396714
13.139867,0.269078,0.395785
13.165902,0.269832,0.394856
13.191937,0.270586,0.393928
13.217972,0.271340,0.393001
13.244007,0.272094,0.392075
13.270042,0.272849,0.391150
13.296077,0.273603,0.390226
13.322112,0.274358,0.389302
13.348147,0.275113,0.388379
13.374182,0.275868,0.387458
13.400217,0.276624,0.386537
13.426252,0.277380,0.385616
13.452287,0.278137,0.384697
13.478322,0.278894,0.383778
13.504357,0.279651,0.382861
13.530392,0.280409,0.381944
13.556427,0.281168,0.381028
